Meas, V1, V2, V3, V4
361, 0.021272235, -0.028004105, 0.009082851, 0.002044130
362, -0.005886766, 0.007574379, -0.024572462, 0.007894672
363, 0.002990137, 0.020056649, -0.013858428, 0.009842295
364, 0.019725831, -0.000494913, -0.002562363, 0.006236491
365, 0.008109271, -0.020077912, -0.016268259, 0.018386862
366, 0.017883530, -0.017777147, -0.006445216, 0.027520693
367, 0.025858029, -0.025558101, 0.027642671, 0.006145558
368, -0.012051440, -0.021753495, 0.002035891, -0.023180543
369, 0.010156700, 0.002020910, 0.027890691, 0.009311264
370, -0.017139091, 0.011522024, 0.031928616, 0.017808065
371, 0.018795622, 0.021611895, 0.023888944, -0.015165761
372, 0.019835036, 0.004284551, -0.002226547, 0.007985508
373, 0.009416019, -0.020147448, -0.000781490, -0.027024780
374, -0.002544526, -0.013291254, -0.015004158, -0.007728546
375, 0.014115327, -0.009548560, -0.013182121, -0.014427545
376, -0.015839463, -0.002992492, -0.008062203, -0.020858869
377, -0.026842377, 0.005591160, -0.009509700, 0.001452823
378, 0.014764355, -0.013905796, -0.008295327, 0.004207903
379, 0.006403989, -0.004969779, -0.009714362, 0.025416794
380, -0.033982167, -0.021341107, -0.026057310, 0.002233886
381, -0.001144892, 0.017289249, 0.018307812, -0.004351515
382, 0.019887806, 0.006608908, 0.028337056, 0.007694178
383, 0.015853647, 0.013423192, 0.003732238, -0.015140896
384, -0.032554611, -0.016997767, 0.029957452, 0.022570892
385, 0.004355475, -0.021256725, -0.003923700, 0.004514908
386, 0.020489027, -0.025545379, -0.008496777, 0.005210636
387, -0.011024541, 0.011650378, 0.008505422, -0.010322838
388, -0.015105208, 0.023871059, -0.019871443, -0.007043153
389, -0.006082425, -0.012262207, -0.002165611, 0.002784135
390, 0.018696767, -0.002022921, 0.008174458, 0.028857386
391, 0.019314408, -0.018038735, 0.028928349, 0.023912818
392, -0.023182015, 0.024615727, 0.004542830, 0.008490771
393, 0.013504745, -0.022761656, 0.020425461, 0.014596703
394, -0.010219126, 0.002763389, -0.003908593, 0.011351408
395, 0.010451838, -0.013864238, -0.009719887, 0.023198607
396, -0.002992773, 0.015925318, 0.022967392, -0.013444966
397, 0.000192719, 0.023974082, 0.016057163, 0.007189219
398, 0.026883899, -0.024072463, 0.025187895, -0.009257786
399, 0.008965219, 0.008735066, -0.002509046, -0.007258838
400, -0.029019768, 0.002978481, 0.015652705, 0.021293062
401, 0.011498540, 0.022717600, -0.002158632, 0.020307650
402, 0.026734085, 0.027232239, 0.009448550, -0.010307084
403, 0.008741505, 0.004925215, 0.030363711, 0.025873719
